tokens,time- exitRight,time- exitLeft
1,1.6752,3.8918
2,5.4637,7.6499
3,11.3298,8.7715
4,12.5544,8.9713
5,14.0396,12.2741
6,17.4955,13.0397
7,17.9572,13.3829
8,18.1464,13.7114
9,22.6151,18.0277
10,23.5183,19.445
11,27.0022,20.6815
12,27.5597,22.3315
13,29.2409,23.1213
14,29.9559,28.3832
15,32.0053,28.9221
16,35.1425,29.9117
17,36.5444,30.9538
18,36.7001,32.0065
19,38.2378,32.9388
20,39.1068,35.6478
21,39.6688,38.5053
22,41.8635,39.2999
23,42.8775,39.8135
24,44.0362,40.754
25,44.504,41.0627
26,47.3158,42.9145
27,49.0211,46.5962
28,50.7737,50.7786
29,52.2473,53.9023
30,53.5073,57.0104
31,54.3006,64.4418
32,54.7657,68.5792
33,57.2935,71.1187
34,59.7909,71.4289
35,61.9635,71.5442
36,62.3201,71.7022
37,63.1329,72.1845
38,63.6024,73.0118
39,65.5372,73.5309
40,65.5988,73.8835
41,65.7781,81.2645
42,66.5749,91.2976
43,66.8557,92.0657
44,68.1078,105.0543
45,68.799,106.2217
46,71.9858,148.4746
47,73.5702,167.324
48,74.6002,185.903
49,75.0187,191.8536
50,76.5162,201.9599
51,77.6918,217.3642
52,77.7062,236.6546
53,79.7762,306.4042
54,80.3507,333.9557
55,80.9462,334.6184
56,82.8544,351.0392
57,85.6889,364.77
58,85.8716,404.1206
59,89.3082,406.8506
60,90.5801,423.1942
61,90.7643,443.2514
62,91.3534,447.7685
63,94.8537,452.486
64,97.832,460.1404
65,100.5109,467.7242
66,102.1398,469.7224
67,104.8368,518.0363
68,104.8573,532.5269
69,107.746,638.5401
70,109.6667,661.8638
71,110.3154,732.0866
72,111.3048,767.0569
73,111.8943,793.8832
74,113.6378,795.1552
75,114.1705,836.6875
76,114.3039,880.7466
77,115.5877,925.7024
78,116.165,966.2709
79,118.0344,968.6559
80,122.7433,978.5597
81,124.7997,991.0658
82,127.4382,1030.3239
83,129.0215,1036.0307
84,133.9237,1087.7596
85,134.7961,1101.6882
86,135.9991,1113.6289
87,136.3305,1117.1408
88,137.0549,1126.0321
89,137.3788,1148.7578
90,138.0984,1188.9276
91,138.6276,1200.7202
92,140.449,1205.1633
93,140.6617,1220.0182
94,142.9485,1258.4659
95,143.1532,1264.4354
96,146.2846,1290.8048
97,147.9851,1346.5931
98,150.2262,1377.997
99,151.2991,1389.4059
100,152.3487,1414.1042
101,153.2677,1418.9744
102,154.03,1433.407
103,154.8549,1437.4622
104,155.01,1491.7751
105,155.426,1503.2369
106,162.0408,1540.9401
107,162.4536,1562.1298
108,163.2517,1600.3899
109,164.2506,1625.3972
110,166.8056,1655.1836
111,167.1932,1656.1438
112,168.3696,1682.792
113,169.0293,1717.5587
114,169.09,1728.9929
115,170.4816,1729.208
116,173.3795,1745.3328
117,174.3523,1788.1193
118,176.4697,1789.1684
119,177.1041,1875.5879
120,178.4126,1899.1355
121,180.7772,1943.0772
122,198.6189,1964.4046
123,202.6329,1972.5675
124,204.4126,2025.4278
125,205.7755,2078.9704
126,205.9504,2095.2598
127,212.9017,2108.5512
128,220.5795,2121.9465
129,230.2766,2139.4346
130,238.1145,2218.5148
131,256.596,2296.8404
132,257.3303,2305.8247
133,266.341,2321.4871
134,266.7104,2379.5713
135,275.5373,2404.1178
136,304.5658,2414.7756
137,320.2824,2425.4651
138,323.7377,2450.5161
139,344.1495,2467.1659
140,373.6558,2516.8797
141,401.4742,2530.7597
142,416.3217,2566.729
143,421.9835,2627.4355
144,475.8764,2634.5948
145,487.885,2678.2876
146,496.887,2722.4684
147,513.6476,2724.0184
148,,2727.4176
149,,2775.0978
150,,2811.2321
151,,2892.8696
152,,2899.1995
153,,2981.8244
154,,3150.3583
155,,3189.4735
156,,3197.7775
157,,3232.0482
158,,3245.8995
159,,3250.5362
160,,3314.3783
161,,3318.357
162,,3350.2383
163,,3395.0883
164,,3429.2869
165,,3434.689
166,,3460.5745
167,,3467.409
168,,3480.008
169,,3504.214
170,,3504.3075
171,,3505.1594
172,,3513.6501
173,,3524.4567
174,,3530.4688
175,,3532.6102
176,,3549.4907
177,,3574.36
178,,3603.5765
179,,3604.1249
180,,3712.3701
181,,3726.8496
182,,3736.4602
183,,3736.6086
184,,3739.8401
185,,3760.0765
186,,3789.3641
187,,3794.2167
188,,3800.5591
189,,3850.7564
190,,3854.4157
191,,3862.5914
192,,3877.902
193,,3923.1402
194,,3967.3612
195,,3969.065
196,,4006.3065
197,,4028.1789
198,,4072.4831
199,,4087.3906
200,,4092.1973
201,,4108.2618
202,,4151.5696
203,,4204.5932
204,,4237.4846
205,,4249.9113
206,,4258.0327
207,,4269.9613
208,,4290.5893
209,,4297.5214
210,,4301.7844
211,,4305.0592
212,,4313.6145
213,,4374.0863
214,,4392.1359
215,,4398.7424
216,,4567.1174
217,,4639.4298
218,,4711.3372
218,,4770.7936
219,,4771.3562